id,condition,title,buying_mode,price,original_price,sale_amount,sale_type,available_quantity,accepts_mercadopago,use_thumbnail_id,health,Seller_City,Seller_state
MLB4936153922,new,Tênis Feminino Go Run Fast Skechers,buy_it_now,189.99,349.99,189.99,promotion,1,True,True,0.88,Cajamar,São Paulo
MLB3804607919,new,Tênis Olympikus Subverse Color Vermelho - Adulto 38 Br,buy_it_now,297.49,349.99,297.49,promotion,1,True,True,,Londrina,Paraná
MLB1936590556,new,Kit 2 Faixa Elástica De Cabeça Esporte Corrida Futebol Yoga,buy_it_now,23.99,,23.99,standard,50,True,True,1.0,São José dos Campos,São Paulo
MLB3717802887,new,Faixa De Cabeça Com Silicone Antiderrapante Futebol Corrida,buy_it_now,16.98,,16.98,standard,1,True,True,1.0,São José dos Campos,São Paulo
MLB4370497290,new,Tênis Masculino Olympikus Volcan Academia Corrida Original,buy_it_now,169.0,249.99,169.0,promotion,200,True,True,0.77,São João da Boa Vista,São Paulo
MLB3508735432,new,Tênis Lap 24/7 Masculino Olympikus,buy_it_now,150.99,229.99,150.99,promotion,50,True,True,,Cajamar,São Paulo
MLB4754597454,new,Lite Racer 4.0 adidas,buy_it_now,161.49,299.99,161.49,promotion,500,True,True,1.0,Extrema,Minas Gerais
MLB2978839915,new,Tênis Olympikus Dynamic Masculino Academia - Fitness,buy_it_now,229.11,311.0,229.11,promotion,50,True,True,1.0,São Paulo Centro,São Paulo
MLB5097544238,new,Tênis Mizuno Enigma - Masculino Preto,buy_it_now,258.92,349.9,258.92,promotion,1,True,True,1.0,Santa Cruz do Sul,Rio Grande do Sul
MLB5052923682,new,Tênis Masculino Asics Original Lançamento Academia Promoção,buy_it_now,99.99,333.33,99.99,promotion,50000,True,True,0.9,Nova Serrana,Minas Gerais
MLB3690757749,new,Kit 2 Camisetas Dry Fit Academia Exercícios Plus Size Treino,buy_it_now,57.0,79.99,57.0,promotion,5000,True,True,0.9,Guarulhos,São Paulo
MLB5170608278,new,Tênis Fila Activewear Transition F01r00083 Color Cinza/preto - Adulto 39 Br,buy_it_now,213.9,274.99,213.9,promotion,1,True,True,,São João da Boa Vista,São Paulo
